Warehouse_ID,Location,Current_Stock,Warehouse_Capacity,Employee_Count,Demand_Forecast,Monthly_Sales,Backorder_Quantity,Stockout_Risk,Lead_Time_Days,Shipping_Time_Days,Order_Processing_Time,Storage_Cost,Operational_Cost,Transportation_Cost,Damaged_Goods,Return_Rate,Customer_Rating,Supplier_ID,Product_Category
WH239,Dallas,3926,28701,83,484,4893,228,7,8,3,4.766230719,16975,93895,2778,26,6.053951998,3.840976301,S693,Groceries
WH244,Houston,3032,36198,39,5122,4453,288,25,3,6,4.304335324,14052,46847,1535,16,3.886995796,2.113928974,S880,Electronics
WH340,Chicago,4763,22784,49,4343,5956,153,16,5,5,1.030779124,9863,64176,13435,3,7.335160145,4.211437108,S116,Furniture
WH428,Atlanta,2219,13172,35,777,5814,143,15,7,6,2.871244047,15911,38940,14508,39,1.393481491,1.751671489,S431,Apparel
WH202,Dallas,809,39619,67,4756,2279,296,16,2,7,4.060930356,19011,33933,1904,30,4.212666135,4.231919059,S821,Electronics
WH211,San Francisco,3840,32490,20,666,1326,181,19,9,1,0.660006277,9766,30165,807,17,2.411435803,1.110987852,S459,Automotive
WH008,Atlanta,4757,19414,94,4776,6186,237,12,7,7,3.084796536,6995,38284,8901,25,4.195065787,1.010431593,S655,Apparel
WH438,Atlanta,4803,42401,91,2432,5539,172,20,9,5,2.433819851,17954,45299,13519,9,6.010138788,2.449831553,S845,Electronics
WH106,New York,1401,18053,78,2940,1822,205,22,10,6,1.291655711,17284,36265,773,17,3.147317563,4.739126957,S456,Apparel
WH099,New York,4213,31286,58,3732,4608,97,20,5,7,3.099240003,5653,57333,7017,44,3.218993567,2.698892569,S569,Electronics
WH366,Los Angeles,1670,37590,90,1713,2147,123,20,10,2,0.720028939,19542,71498,13230,15,3.949789866,1.610447555,S813,Apparel
WH286,Los Angeles,2208,26580,34,1339,5219,160,15,8,1,3.624469253,13840,95778,12534,31,5.915695635,4.205013315,S560,Automotive
WH023,San Francisco,2635,36191,78,4395,8989,54,23,10,7,3.618599504,7937,73077,14852,4,9.45949963,2.018709113,S603,Groceries
WH428,Seattle,1799,34452,94,484,4671,253,25,5,3,2.128322844,18186,57671,14587,36,7.933189235,1.477426405,S469,Apparel
